GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
By Year,2023-24,1610612763,MEM,2024-02-26T00:00:00,46,16,30,0.348,1231.3783333333333,141,315,0.448,68,185,0.368,89,110,0.809,54,203,257,141,70,40,26,17,117,113,439,-49,1086.9,3,0,1037.0,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,Vince Williams Jr.
By Year,2023-24,1610612740,NOP,2024-02-25T00:00:00,47,27,20,0.574,1447.3683333333333,417,719,0.58,4,11,0.364,217,316,0.687,83,179,262,240,118,43,24,81,108,234,1055,59,1812.4,8,0,1695.0,2,2,3,2,2,2,2,4,4,4,3,2,2,3,2,2,2,1,2,2,2,3,3,2,2,4,2,2,1,2,Zion Williamson
By Year,2023-24,1610612751,BKN,2024-02-26T00:00:00,19,4,15,0.211,245.50833333333333,32,65,0.492,12,24,0.5,17,19,0.895,19,23,42,21,4,5,1,4,19,12,93,-32,188.9,1,0,180.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jalen Wilson
By Year,2023-24,-1,TOT,2024-02-25T00:00:00,11,6,5,0.545,35.126666666666665,5,11,0.455,5,10,0.5,0,0,0.0,0,4,4,7,0,0,0,0,3,0,15,7,30.3,0,0,31.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dylan Windler
By Year,2023-24,1610612747,LAL,2024-02-25T00:00:00,8,4,4,0.5,27.69333333333333,4,9,0.444,4,8,0.5,0,0,0.0,0,3,3,6,0,0,0,0,2,0,12,-1,24.6,0,0,25.0,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,3,3,3,4,4,3,1,3,3,3,2,3,2,1,3,Dylan Windler
By Year,2023-24,1610612752,NYK,2023-11-08T00:00:00,3,2,1,0.667,7.433333333333334,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,1,0,3,8,5.7,0,0,6.0,4,5,2,2,5,5,5,2,4,4,1,3,3,3,3,4,4,4,4,4,3,1,2,3,5,1,5,2,1,5,Dylan Windler
By Year,2023-24,1610612765,DET,2024-02-26T00:00:00,38,3,35,0.079,544.2683333333333,97,147,0.66,0,2,0.0,31,50,0.62,57,98,155,27,32,6,24,8,77,36,225,-169,509.5,1,0,467.0,2,3,4,4,3,3,3,1,4,3,4,3,3,4,1,3,3,1,3,2,2,2,3,3,3,2,3,3,1,3,James Wiseman
By Year,2023-24,1610612747,LAL,2024-02-14T00:00:00,50,28,22,0.56,871.9433333333334,123,264,0.466,35,114,0.307,66,94,0.702,39,215,254,49,50,16,33,12,72,79,347,3,822.3,2,0,783.0,4,2,5,2,5,5,5,8,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,5,Christian Wood
By Year,2023-24,-1,TOT,2024-02-26T00:00:00,34,7,27,0.206,491.19666666666666,51,127,0.402,16,42,0.381,29,35,0.829,13,48,61,87,11,37,9,11,22,32,147,-40,477.7,0,0,403.0,3,3,1,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,1,1,3,3,2,3,3,2,3,Delon Wright
By Year,2023-24,1610612748,MIA,2024-02-26T00:00:00,1,1,0,1.0,35.32,3,5,0.6,2,4,0.5,5,6,0.833,0,2,2,5,0,2,1,0,0,5,13,9,31.9,0,0,28.0,12,12,1,1,12,12,12,1,12,12,1,12,12,4,12,12,12,12,12,12,12,1,1,12,12,8,12,6,2,12,Delon Wright
By Year,2023-24,1610612764,WAS,2024-02-14T00:00:00,33,6,27,0.182,455.87666666666667,48,122,0.393,14,38,0.368,24,29,0.828,13,46,59,82,11,35,8,11,22,27,134,-49,445.8,0,0,375.0,7,11,10,12,9,10,9,12,9,9,6,11,11,7,10,9,9,9,11,9,10,3,3,10,10,10,9,6,2,9,Delon Wright
By Year,2023-24,-1,TOT,2024-02-23T00:00:00,24,6,18,0.25,369.025,55,90,0.611,1,6,0.167,5,12,0.417,35,48,83,50,12,19,3,8,42,12,116,-30,344.6,0,0,294.0,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,2,3,2,1,3,Thaddeus Young
By Year,2023-24,1610612756,PHX,2024-02-23T00:00:00,1,0,1,0.0,18.883333333333333,1,3,0.333,0,0,0.0,0,0,0.0,6,2,8,0,1,1,0,0,4,0,2,-1,13.6,0,0,12.0,20,20,1,20,20,20,20,20,19,20,19,20,20,20,20,20,20,20,20,20,20,1,1,20,20,10,20,15,1,20,Thaddeus Young
By Year,2023-24,1610612761,TOR,2024-02-07T00:00:00,23,6,17,0.261,350.14166666666665,54,87,0.621,1,6,0.167,5,12,0.417,29,46,75,50,11,18,3,8,38,12,114,-29,331.0,0,0,282.0,19,19,5,17,19,19,19,1,16,17,17,19,19,19,19,19,19,17,19,19,19,2,2,19,19,12,19,15,1,19,Thaddeus Young
By Year,2023-24,1610612737,ATL,2024-02-23T00:00:00,51,22,29,0.431,1861.78,418,982,0.426,169,456,0.371,339,396,0.856,22,118,140,553,220,70,11,53,106,330,1344,-113,2364.5,35,0,2368.0,6,5,2,4,6,6,6,5,3,5,2,6,6,5,6,6,6,6,6,4,3,1,3,6,6,4,6,3,3,6,Trae Young
By Year,2023-24,1610612762,UTA,2024-02-25T00:00:00,31,14,17,0.452,274.07,41,84,0.488,4,16,0.25,7,13,0.538,37,73,110,13,24,4,11,6,36,17,93,-73,265.5,0,0,250.0,2,2,2,3,2,2,2,3,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,Omer Yurtseven
By Year,2023-24,1610612740,NOP,2024-02-22T00:00:00,37,21,16,0.568,291.52,22,54,0.407,1,3,0.333,21,35,0.6,39,58,97,35,13,8,4,9,39,35,66,56,257.9,0,0,223.0,8,6,3,2,10,11,11,11,5,6,3,11,10,11,10,10,10,8,11,9,10,2,2,10,11,3,10,9,1,10,Cody Zeller
By Year,2023-24,1610612746,LAC,2024-02-25T00:00:00,46,29,17,0.63,1228.4466666666667,235,359,0.655,0,0,0.0,80,120,0.667,140,295,435,60,54,11,58,32,130,97,550,208,1315.0,16,0,1183.0,5,5,2,4,5,5,5,1,2,6,2,5,5,8,5,5,5,5,5,6,5,6,5,5,5,2,5,3,1,5,Ivica Zubac
