GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
By Year,2023-24,1610612754,IND,2024-02-26T00:00:00,40,24,16,0.6,718.5483333333333,165,266,0.62,45,97,0.464,45,64,0.703,65,158,223,43,32,11,26,8,89,62,420,-34,831.1,4,0,805.0,2,2,3,3,2,2,2,1,2,2,1,2,2,5,2,2,2,2,2,2,2,3,4,2,2,4,2,3,1,2,Jalen Smith
By Year,2023-24,1610612755,PHI,2024-02-22T00:00:00,12,4,8,0.333,69.23,16,40,0.4,12,31,0.387,2,3,0.667,0,2,2,10,4,7,0,3,4,3,46,4,80.4,0,0,84.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Terquavion Smith
By Year,2023-24,1610612751,BKN,2024-02-26T00:00:00,41,15,26,0.366,804.575,113,264,0.428,20,74,0.27,34,45,0.756,42,94,136,158,51,47,10,19,92,41,280,-39,800.2,3,0,708.0,3,4,6,3,4,5,5,2,5,5,6,6,7,2,2,3,3,3,6,3,6,4,7,7,5,3,3,2,4,4,Dennis Smith Jr.
By Year,2023-24,1610612745,HOU,2024-02-25T00:00:00,52,24,28,0.462,1658.875,255,561,0.455,89,244,0.365,97,119,0.815,106,341,447,78,66,36,37,42,140,91,696,-53,1502.4,12,0,1456.0,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,Jabari Smith Jr.
By Year,2023-24,1610612766,CHA,2024-02-14T00:00:00,37,7,30,0.189,572.6933333333334,88,217,0.406,51,113,0.451,11,13,0.846,16,38,54,45,32,7,7,8,45,12,238,-186,380.3,0,0,416.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nick Smith Jr.
By Year,2023-24,1610612759,SAS,2024-02-25T00:00:00,58,11,47,0.19,1716.06,260,593,0.438,54,163,0.331,84,110,0.764,107,250,357,205,111,47,26,56,133,103,658,-344,1501.9,4,0,1420.0,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,Jeremy Sochan
By Year,2023-24,-1,TOT,2024-02-24T00:00:00,34,19,15,0.559,380.74833333333333,46,119,0.387,8,38,0.211,28,34,0.824,25,33,58,35,26,25,11,14,49,29,128,-68,332.1,0,0,301.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jaden Springer
By Year,2023-24,1610612738,BOS,2024-02-24T00:00:00,2,2,0,1.0,3.3833333333333333,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,3,3,1,1,4,4,3,4,3,3,3,3,3,3,4,4,4,3,4,3,4,1,1,3,4,1,4,1,1,4,Jaden Springer
By Year,2023-24,1610612755,PHI,2024-02-07T00:00:00,32,17,15,0.531,377.365,46,118,0.39,8,37,0.216,28,34,0.824,25,33,58,35,26,25,11,14,49,29,128,-66,332.1,0,0,301.0,1,1,4,4,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,1,1,Jaden Springer
By Year,2023-24,-1,TOT,2024-02-26T00:00:00,24,17,7,0.708,236.51,48,91,0.527,6,12,0.5,13,20,0.65,19,46,65,13,15,8,11,5,21,19,115,3,254.5,0,0,237.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lamar Stevens
By Year,2023-24,1610612763,MEM,2024-02-26T00:00:00,5,2,3,0.4,114.64166666666667,27,46,0.587,3,4,0.75,5,9,0.556,7,27,34,5,6,2,6,2,7,10,62,-7,128.3,0,0,120.0,5,5,1,4,5,4,4,1,4,5,1,5,5,5,5,4,4,5,5,5,4,1,1,4,4,3,4,3,1,4,Lamar Stevens
By Year,2023-24,1610612738,BOS,2024-02-04T00:00:00,19,15,4,0.789,121.86833333333334,21,45,0.467,3,8,0.375,8,11,0.727,12,19,31,8,9,6,5,3,14,9,53,10,126.2,0,0,117.0,4,3,2,1,4,5,5,3,4,4,2,4,4,1,4,5,5,4,4,4,5,2,2,5,5,1,5,3,1,5,Lamar Stevens
By Year,2023-24,1610612765,DET,2024-01-28T00:00:00,35,5,30,0.143,1069.6766666666667,142,302,0.47,49,131,0.374,53,71,0.746,63,175,238,61,54,13,27,14,86,63,386,-109,829.1,5,0,814.0,4,4,1,4,4,4,4,3,2,2,1,4,4,1,4,4,4,3,4,4,4,1,1,4,4,2,4,4,1,4,Isaiah Stewart
By Year,2023-24,1610612743,DEN,2024-02-25T00:00:00,38,25,13,0.658,493.0566666666667,75,198,0.379,38,124,0.306,18,25,0.72,4,48,52,40,17,17,7,9,48,33,206,-119,383.4,0,0,384.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Julian Strawther
By Year,2023-24,1610612739,CLE,2024-02-25T00:00:00,56,37,19,0.661,1805.3683333333333,246,593,0.415,130,390,0.333,58,75,0.773,49,221,270,213,84,51,26,33,142,94,680,295,1470.5,4,0,1447.0,3,3,2,2,2,3,2,4,3,3,4,2,2,4,1,1,1,1,1,1,1,5,4,1,3,1,2,1,1,2,Max Strus
By Year,2023-24,1610612753,ORL,2024-02-25T00:00:00,53,28,25,0.528,1416.2383333333332,234,517,0.453,108,279,0.387,76,100,0.76,38,133,171,135,100,75,32,19,147,116,652,-99,1280.7,0,0,1280.0,1,1,1,1,1,1,2,1,1,1,1,3,3,2,2,2,1,3,2,1,1,1,3,3,1,2,1,2,1,1,Jalen Suggs
By Year,2023-24,1610612748,MIA,2024-02-26T00:00:00,11,4,7,0.364,54.516666666666666,9,25,0.36,5,19,0.263,2,2,1.0,1,3,4,4,6,1,1,0,2,1,25,1,35.8,0,0,42.0,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,Cole Swider
By Year,2023-24,1610612745,HOU,2024-02-22T00:00:00,52,23,29,0.442,902.3216666666667,93,198,0.47,21,69,0.304,22,32,0.688,53,121,174,56,26,38,9,14,122,48,229,72,636.8,0,0,574.0,3,1,2,1,3,4,4,4,3,3,3,4,4,4,3,3,3,4,4,3,3,1,2,4,4,1,3,3,1,3,Jae'Sean Tate
